date,bpm,bpm_q,last_steps,activity_type,speed,skin_proximity,energy_exp,respiration_rate,pha,pha_q,resp_q,wearing,move_alert,cw,cwt,battery,step_calories,rest_calories,distance,step_duration,spo2,spo2_q,hta,hta_q,gait_asymmetry,gait_speed,gait_var,cardiac_arrest,nibp_systolic,nibp_diastolic,nibp_systolic_long_term,nibp_diastolic_long_term,nibp_systolic_combine,nibp_diastolic_combine
2035-03-15 14:50:00+00:00,120,1,0,7,0,0,1757,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:50:30+00:00,0,0,0,7,0,0,653,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:51:01+00:00,0,0,0,7,0,0,1800,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:51:30+00:00,0,0,0,7,0,0,631,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:52:01+00:00,0,0,0,7,0,0,2968,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:52:30+00:00,0,0,0,7,0,0,631,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:53:01+00:00,0,0,0,7,0,0,2968,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:53:30+00:00,0,0,0,7,0,0,631,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:54:00+00:00,0,0,0,7,0,0,653,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:54:30+00:00,0,0,0,7,0,0,653,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:55:00+00:00,0,0,0,7,0,0,653,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:55:32+00:00,0,0,0,7,0,0,696,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:56:01+00:00,0,0,0,7,0,0,631,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:56:32+00:00,0,0,0,7,0,0,674,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:57:01+00:00,0,0,0,7,0,0,631,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:57:31+00:00,0,0,0,7,0,0,653,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:58:02+00:00,0,0,0,7,0,0,674,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:58:30+00:00,0,0,0,7,0,0,609,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:59:01+00:00,0,0,0,7,0,0,674,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 14:59:30+00:00,0,0,0,7,0,0,631,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:00:01+00:00,0,0,0,7,0,0,674,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:00:32+00:00,0,0,0,7,0,0,674,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:01:01+00:00,57,1,0,7,0,0,631,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:01:32+00:00,84,1,0,7,0,0,674,0.0,2,0,0,4,,,,44,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:02:01+00:00,84,1,0,7,0,0,631,12.0,2,0,4,4,,,,44,,,,,99,4,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:02:32+00:00,120,1,0,7,0,0,939,14.0,2,0,4,4,,,,44,,,,,99,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:03:02+00:00,120,1,0,7,0,0,653,27.0,2,0,4,4,,,,44,,,,,99,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:03:30+00:00,112,1,0,7,0,0,1488,0.0,2,0,0,4,,,,44,,,,,99,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:04:00+00:00,115,2,0,7,0,0,653,19.5,2,0,4,4,,,,44,,,,,100,1,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:04:30+00:00,120,2,0,7,0,0,1580,32.75,2,0,4,4,,,,43,,,,,98,1,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:05:01+00:00,141,2,0,7,0,0,674,14.0,2,0,4,4,,,,43,,,,,97,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:05:30+00:00,140,3,0,7,0,0,2679,19.5,2,0,4,4,,,,43,,,,,97,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:06:01+00:00,152,2,0,7,0,0,674,42.0,2,0,4,4,,,,43,,,,,97,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:06:31+00:00,154,2,0,7,0,0,3372,0.0,2,0,0,4,,,,43,,,,,97,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:07:00+00:00,146,2,0,7,0,0,631,38.25,2,0,2,4,,,,43,,,,,97,4,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:07:31+00:00,123,1,3,1,4,0,3195,0.0,2,0,0,4,,,,43,,,,,97,2,,,1,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:08:00+00:00,116,2,0,1,11,0,631,0.0,2,0,0,4,,,,43,,,,,97,2,,,0,0.30000001192093,11,1,0,0,0,0,0,0
2035-03-15 15:08:30+00:00,112,3,0,7,0,0,2450,25.25,2,0,1,4,,,,43,,,,,97,2,,,0,0.0,10,1,0,0,0,0,0,0
2035-03-15 15:09:01+00:00,109,4,0,7,0,0,674,0.0,2,0,0,4,,,,43,,,,,98,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:09:32+00:00,106,4,0,7,0,0,1463,0.0,2,0,0,4,,,,43,,,,,98,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:10:01+00:00,105,4,0,7,0,0,631,23.25,2,0,1,4,,,,43,,,,,98,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:10:32+00:00,106,4,0,7,0,0,960,14.0,2,0,4,4,,,,43,,,,,98,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:11:01+00:00,106,4,0,7,0,0,631,0.0,0,4,0,4,,,,43,,,,,98,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:11:31+00:00,105,4,0,7,0,0,977,17.75,0,4,2,4,,,,43,,,,,98,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:12:02+00:00,102,4,0,7,0,0,674,0.0,0,4,0,4,,,,43,,,,,98,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:12:31+00:00,102,4,0,7,0,0,631,0.0,0,4,0,4,,,,43,,,,,98,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:13:00+00:00,102,4,0,7,0,0,631,12.0,0,4,2,4,,,,43,,,,,97,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-15 15:13:31+00:00,102,4,0,7,0,0,674,0.0,0,4,0,4,,,,43,,,,,97,2,,,0,0.0,0,1,0,0,0,0,0,0
