date,skin_temp,heatflux,acc_x,acc_y,acc_z,pulse_rate,cbt
2035-03-12 14:50:00+00:00,32.72,95.74,0.88,0.0,-0.48,77,37.36
2035-03-12 14:50:01+00:00,32.7,95.74,0.86,-0.04,-0.52,81,37.36
2035-03-12 14:50:02+00:00,32.68,94.66,0.86,-0.06,-0.52,82,37.36
2035-03-12 14:50:03+00:00,32.68,94.66,0.88,-0.06,-0.48,82,37.36
2035-03-12 14:50:04+00:00,32.7,93.56,0.94,-0.06,-0.36,81,37.36
2035-03-12 14:50:05+00:00,32.72,94.66,0.94,-0.06,-0.36,82,37.36
2035-03-12 14:50:06+00:00,32.73,94.66,0.94,-0.06,-0.38,82,37.36
2035-03-12 14:50:07+00:00,32.73,94.66,0.94,-0.06,-0.38,81,37.36
2035-03-12 14:50:08+00:00,32.72,95.74,0.94,-0.06,-0.38,82,37.36
2035-03-12 14:50:09+00:00,32.73,95.74,0.26,-0.7,-0.5,81,37.36
2035-03-12 14:50:10+00:00,32.72,95.74,0.12,-0.8,-0.54,81,37.36
2035-03-12 14:50:11+00:00,32.74,95.74,0.2,-0.86,-0.44,82,37.36
2035-03-12 14:50:12+00:00,32.78,95.74,0.26,-0.94,-0.26,81,37.36
2035-03-12 14:50:13+00:00,32.83,95.74,0.26,-0.94,-0.26,82,37.36
2035-03-12 14:50:14+00:00,32.84,96.82,-0.82,-0.12,-0.46,81,37.36
2035-03-12 14:50:15+00:00,32.84,96.82,-0.84,0.0,-0.48,82,37.36
2035-03-12 14:50:16+00:00,32.84,96.82,-0.82,-0.02,-0.48,82,37.36
2035-03-12 14:50:17+00:00,32.81,96.82,-0.58,-0.08,-0.24,82,37.36
2035-03-12 14:50:18+00:00,32.77,94.66,1.08,-0.16,-0.26,82,37.36
2035-03-12 14:50:19+00:00,32.74,94.66,0.8,-0.02,-0.56,81,37.36
2035-03-12 14:50:20+00:00,32.75,94.66,0.5,-0.02,-0.86,82,37.36
2035-03-12 14:50:21+00:00,32.78,94.66,0.4,-0.04,-0.9,82,37.36
2035-03-12 14:50:22+00:00,32.81,94.66,0.44,-0.02,-0.9,82,37.36
2035-03-12 14:50:23+00:00,32.84,95.74,0.46,-0.02,-0.88,82,37.36
2035-03-12 14:50:24+00:00,32.86,94.66,0.46,-0.02,-0.88,81,37.36
2035-03-12 14:50:25+00:00,32.86,94.66,0.52,-0.2,-0.8,81,37.36
2035-03-12 14:50:26+00:00,32.83,94.66,0.52,-0.2,-0.8,82,37.36
2035-03-12 14:50:27+00:00,32.78,93.56,0.12,-0.82,-0.54,81,37.36
2035-03-12 14:50:28+00:00,32.75,93.56,0.18,-0.82,-0.5,81,37.36
2035-03-12 14:50:29+00:00,32.73,93.56,0.18,-0.82,-0.52,81,37.36
