date,skin_temp,heatflux,acc_x,acc_y,acc_z,pulse_rate,cbt
2035-03-12 16:50:00+00:00,21.51,7.72,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:01+00:00,21.48,7.72,0.32,-0.04,0.96,59,36.99
2035-03-12 16:50:02+00:00,21.45,7.72,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:03+00:00,21.42,7.72,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:04+00:00,21.4,7.72,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:05+00:00,21.39,7.72,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:06+00:00,21.39,7.72,0.32,-0.04,0.96,59,36.99
2035-03-12 16:50:07+00:00,21.39,7.72,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:08+00:00,21.41,10.98,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:09+00:00,21.43,10.98,0.32,-0.04,0.96,59,36.99
2035-03-12 16:50:10+00:00,21.44,10.98,0.32,-0.04,0.96,59,36.99
2035-03-12 16:50:11+00:00,21.45,7.72,0.32,-0.04,0.96,59,36.99
2035-03-12 16:50:12+00:00,21.47,12.06,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:13+00:00,21.49,13.16,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:14+00:00,21.49,13.16,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:15+00:00,21.49,13.16,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:16+00:00,21.49,12.06,0.32,-0.04,0.96,59,36.99
2035-03-12 16:50:17+00:00,21.49,12.06,0.32,-0.04,0.96,59,36.99
2035-03-12 16:50:18+00:00,21.48,10.98,0.32,-0.04,0.96,59,36.99
2035-03-12 16:50:19+00:00,21.46,10.98,0.32,-0.04,0.96,59,36.99
2035-03-12 16:50:20+00:00,21.44,10.98,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:21+00:00,21.45,10.98,0.32,-0.04,0.96,59,36.99
2035-03-12 16:50:22+00:00,21.45,9.9,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:23+00:00,21.44,9.9,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:24+00:00,21.43,9.9,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:25+00:00,21.44,12.06,0.32,-0.04,0.96,59,36.99
2035-03-12 16:50:26+00:00,21.45,7.72,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:27+00:00,21.43,7.72,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:28+00:00,21.43,7.72,0.32,-0.04,0.96,60,36.99
2035-03-12 16:50:29+00:00,21.43,7.72,0.32,-0.04,0.96,59,36.99
2035-03-12 16:50:30+00:00,21.43,7.72,0.32,-0.04,0.96,60,36.99
