date,bpm,bpm_q,last_steps,activity_type,speed,skin_proximity,energy_exp,respiration_rate,pha,pha_q,resp_q,wearing,move_alert,cw,cwt,battery,step_calories,rest_calories,distance,step_duration,spo2,spo2_q,hta,hta_q,gait_asymmetry,gait_speed,gait_var,cardiac_arrest,nibp_systolic,nibp_diastolic,nibp_systolic_long_term,nibp_diastolic_long_term,nibp_systolic_combine,nibp_diastolic_combine
2035-03-13 19:50:00+00:00,166,1,0,7,0,0,4405,38.25,2,0,4,4,,,,56,,,,,97,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:50:31+00:00,117,2,0,7,0,0,674,36.5,2,0,4,4,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 19:51:00+00:00,126,2,0,7,0,0,2054,36.5,2,0,4,4,,,,56,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:51:30+00:00,142,2,0,7,0,0,653,34.5,2,0,4,4,,,,56,,,,,99,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:52:00+00:00,162,1,0,7,0,0,3986,34.5,2,0,4,4,,,,56,,,,,99,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:52:30+00:00,166,1,0,7,0,0,653,0.0,2,0,0,4,,,,56,,,,,98,3,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:53:00+00:00,179,2,0,7,0,0,4937,34.5,2,0,4,4,,,,56,,,,,98,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:53:31+00:00,184,2,0,7,0,0,674,36.5,2,0,4,4,,,,56,,,,,98,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:54:00+00:00,161,2,0,7,0,0,4103,27.0,2,0,4,4,,,,56,,,,,97,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:54:30+00:00,136,3,0,7,0,0,653,38.25,2,0,4,4,,,,56,,,,,97,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:55:00+00:00,137,3,0,7,0,0,2781,30.75,2,0,4,4,,,,56,,,,,99,1,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:55:30+00:00,118,2,0,7,0,0,653,0.0,2,0,0,4,,,,56,,,,,99,1,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:56:00+00:00,108,2,0,7,0,0,1002,36.5,2,0,4,4,,,,56,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:56:30+00:00,141,2,0,7,0,0,653,30.75,2,0,4,4,,,,56,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:57:01+00:00,136,2,0,7,0,0,3698,34.5,2,0,4,4,,,,56,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:57:30+00:00,140,2,0,7,0,0,631,40.25,2,0,4,4,,,,56,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 19:58:01+00:00,119,1,0,7,0,0,2689,0.0,2,0,0,4,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 19:58:30+00:00,119,0,0,7,0,0,631,0.0,2,0,0,0,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 19:59:00+00:00,0,0,0,7,0,0,653,0.0,2,0,0,0,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 19:59:30+00:00,0,0,0,7,0,0,653,0.0,2,0,0,0,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 20:00:00+00:00,0,0,0,7,0,0,653,0.0,2,0,0,0,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 20:00:30+00:00,0,0,0,7,0,0,653,0.0,2,0,0,0,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 20:01:00+00:00,0,0,0,7,0,0,653,0.0,2,0,0,0,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 20:01:30+00:00,0,0,0,7,0,0,653,0.0,2,0,0,0,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 20:02:01+00:00,0,0,0,7,0,0,674,0.0,2,0,0,0,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 20:02:30+00:00,0,0,0,7,0,0,631,0.0,2,0,0,4,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 20:03:00+00:00,0,0,0,7,0,0,653,0.0,2,0,4,4,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 20:03:30+00:00,0,0,0,7,0,0,653,0.0,2,0,0,0,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
2035-03-13 20:04:00+00:00,0,0,0,7,0,0,653,25.25,2,0,4,4,,,,56,,,,,0,0,,,0,0.0,0,2,0,0,0,0,0,0
