date,skin_temp,heatflux,acc_x,acc_y,acc_z,pulse_rate,cbt
2035-02-28 16:50:00+00:00,29.78,-54.2,0.0,-1.0,-0.08,87,37.35
2035-02-28 16:50:01+00:00,29.75,-54.2,0.0,-1.0,-0.08,66,37.35
2035-02-28 16:50:02+00:00,29.72,-53.1,0.0,-1.0,-0.08,66,37.35
2035-02-28 16:50:03+00:00,29.7,-52.02,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:04+00:00,29.68,-53.1,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:05+00:00,29.68,-53.1,0.0,-1.0,-0.08,66,37.35
2035-02-28 16:50:06+00:00,29.68,-54.2,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:07+00:00,29.68,-54.2,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:08+00:00,29.66,-54.2,0.0,-1.0,-0.08,66,37.35
2035-02-28 16:50:09+00:00,29.64,-54.2,0.0,-1.0,-0.08,66,37.35
2035-02-28 16:50:10+00:00,29.61,-53.1,0.0,-1.0,-0.08,66,37.35
2035-02-28 16:50:11+00:00,29.56,-52.02,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:12+00:00,29.52,-53.1,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:13+00:00,29.48,-52.02,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:14+00:00,29.45,-52.02,0.0,-1.0,-0.08,66,37.35
2035-02-28 16:50:15+00:00,29.42,-52.02,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:16+00:00,29.4,-49.84,0.0,-1.0,-0.08,66,37.35
2035-02-28 16:50:17+00:00,29.4,-49.84,0.0,-1.0,-0.08,66,37.35
2035-02-28 16:50:18+00:00,29.39,-49.84,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:19+00:00,29.37,-49.84,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:20+00:00,29.36,-47.68,0.0,-1.0,-0.08,66,37.35
2035-02-28 16:50:21+00:00,29.34,-47.68,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:22+00:00,29.32,-47.68,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:23+00:00,29.3,-47.68,0.0,-1.0,-0.08,66,37.35
2035-02-28 16:50:24+00:00,29.28,-47.68,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:25+00:00,29.27,-47.68,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:26+00:00,29.24,-47.68,0.0,-1.0,-0.08,66,37.35
2035-02-28 16:50:27+00:00,29.21,-47.68,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:28+00:00,29.16,-47.68,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:29+00:00,29.13,-47.68,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:30+00:00,29.11,-47.68,0.0,-1.0,-0.08,65,37.35
2035-02-28 16:50:31+00:00,29.1,-47.68,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:32+00:00,29.09,-47.68,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:33+00:00,29.07,-45.5,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:34+00:00,29.05,-45.5,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:35+00:00,29.02,-45.5,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:36+00:00,28.97,-45.5,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:37+00:00,28.91,-44.42,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:38+00:00,28.88,-44.42,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:39+00:00,28.86,-43.32,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:40+00:00,28.85,-42.24,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:41+00:00,28.84,-42.24,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:42+00:00,28.84,-43.32,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:43+00:00,28.84,-42.24,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:44+00:00,28.81,-42.24,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:45+00:00,28.79,-42.24,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:46+00:00,28.75,-42.24,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:47+00:00,28.72,-40.06,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:48+00:00,28.71,-40.06,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:49+00:00,28.7,-38.98,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:50+00:00,28.71,-40.06,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:51+00:00,28.73,-41.16,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:52+00:00,28.75,-41.16,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:53+00:00,28.77,-38.98,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:54+00:00,28.78,-41.16,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:55+00:00,28.79,-41.16,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:56+00:00,28.79,-40.06,0.0,-1.0,-0.08,68,37.35
2035-02-28 16:50:57+00:00,28.78,-40.06,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:58+00:00,28.78,-40.06,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:50:59+00:00,28.79,-37.9,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:51:00+00:00,28.78,-36.8,0.0,-1.0,-0.08,69,37.35
2035-02-28 16:51:01+00:00,28.75,-36.8,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:02+00:00,28.7,-36.8,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:03+00:00,28.67,-36.8,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:04+00:00,28.63,-34.64,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:05+00:00,28.59,-35.72,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:06+00:00,28.56,-35.72,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:07+00:00,28.55,-35.72,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:08+00:00,28.54,-35.72,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:09+00:00,28.53,-35.72,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:10+00:00,28.53,-35.72,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:11+00:00,28.52,-35.72,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:12+00:00,28.51,-34.64,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:13+00:00,28.5,-34.64,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:14+00:00,28.5,-34.64,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:15+00:00,28.48,-34.64,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:16+00:00,28.47,-33.54,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:17+00:00,28.46,-33.54,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:18+00:00,28.43,-33.54,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:19+00:00,28.39,-33.54,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:20+00:00,28.35,-32.46,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:21+00:00,28.32,-32.46,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:22+00:00,28.28,-32.46,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:23+00:00,28.25,-32.46,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:24+00:00,28.24,-30.28,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:25+00:00,28.24,-32.46,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:26+00:00,28.24,-30.28,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:27+00:00,28.24,-30.28,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:28+00:00,28.24,-30.28,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:29+00:00,28.24,-30.28,0.0,-1.0,-0.08,83,37.35
2035-02-28 16:51:30+00:00,28.22,-29.2,0.0,-1.0,-0.08,82,37.35
2035-02-28 16:51:31+00:00,28.19,-29.2,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:32+00:00,28.16,-29.2,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:33+00:00,28.12,-29.2,0.0,-1.0,-0.08,103,37.35
2035-02-28 16:51:34+00:00,28.08,-28.12,0.0,-1.0,-0.08,103,37.35
2035-02-28 16:51:35+00:00,28.04,-30.28,0.0,-1.0,-0.08,103,37.35
2035-02-28 16:51:36+00:00,28.02,-29.2,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:37+00:00,28.02,-29.2,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:38+00:00,28.02,-29.2,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:39+00:00,28.02,-29.2,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:40+00:00,28.02,-27.02,0.0,-1.0,-0.08,103,37.35
2035-02-28 16:51:41+00:00,28.02,-27.02,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:42+00:00,28.01,-25.94,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:43+00:00,28.01,-25.94,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:44+00:00,28.01,-25.94,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:45+00:00,28.04,-27.02,0.0,-1.0,-0.08,103,37.35
2035-02-28 16:51:46+00:00,28.07,-25.94,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:47+00:00,28.1,-27.02,0.0,-1.0,-0.08,103,37.35
2035-02-28 16:51:48+00:00,28.11,-27.02,0.0,-1.0,-0.08,103,37.35
2035-02-28 16:51:49+00:00,28.11,-27.02,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:50+00:00,28.11,-25.94,0.0,-1.0,-0.08,103,37.35
2035-02-28 16:51:51+00:00,28.06,-27.02,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:52+00:00,27.99,-25.94,0.0,-1.0,-0.08,103,37.35
2035-02-28 16:51:53+00:00,27.94,-27.02,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:54+00:00,27.91,-27.02,0.0,-1.0,-0.08,103,37.35
2035-02-28 16:51:55+00:00,27.87,-27.02,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:56+00:00,27.83,-24.86,0.0,-1.0,-0.08,103,37.35
2035-02-28 16:51:57+00:00,27.84,-24.86,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:58+00:00,27.83,-23.76,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:51:59+00:00,27.81,-23.76,0.0,-1.0,-0.08,103,37.35
2035-02-28 16:52:00+00:00,27.79,-23.76,0.0,-1.0,-0.08,104,37.35
2035-02-28 16:52:01+00:00,27.78,-23.76,0.0,-1.0,-0.08,109,37.35
2035-02-28 16:52:02+00:00,27.78,-23.76,0.0,-1.0,-0.08,109,37.35
2035-02-28 16:52:03+00:00,27.73,-23.76,0.0,-1.0,-0.08,110,37.35
2035-02-28 16:52:04+00:00,27.73,-23.76,0.0,-1.0,-0.08,110,37.35
2035-02-28 16:52:05+00:00,27.73,-24.86,0.0,-1.0,-0.08,110,37.35
2035-02-28 16:52:06+00:00,27.73,-23.76,0.0,-1.0,-0.08,110,37.35
2035-02-28 16:52:07+00:00,27.72,-23.76,0.0,-1.0,-0.08,110,37.35
2035-02-28 16:52:08+00:00,27.72,-23.76,0.0,-1.0,-0.08,109,37.35
2035-02-28 16:52:09+00:00,27.73,-23.76,0.0,-1.0,-0.08,110,37.35
2035-02-28 16:52:10+00:00,27.73,-21.6,0.0,-1.0,-0.08,110,37.35
2035-02-28 16:52:11+00:00,27.73,-21.6,0.0,-1.0,-0.08,110,37.35
2035-02-28 16:52:12+00:00,27.73,-23.76,0.0,-1.0,-0.08,110,37.35
