date,skin_temp,heatflux,acc_x,acc_y,acc_z,pulse_rate,cbt
2035-03-15 19:50:00+00:00,25.73,-19.42,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:01+00:00,25.72,-19.42,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:02+00:00,25.71,-19.42,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:03+00:00,25.7,-19.42,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:04+00:00,25.7,-20.5,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:05+00:00,25.69,-20.5,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:06+00:00,25.68,-20.5,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:07+00:00,25.66,-20.5,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:08+00:00,25.64,-20.5,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:09+00:00,25.62,-20.5,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:10+00:00,25.61,-20.5,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:11+00:00,25.62,-20.5,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:12+00:00,25.63,-19.42,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:13+00:00,25.64,-18.34,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:14+00:00,25.65,-18.34,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:15+00:00,25.64,-18.34,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:16+00:00,25.6,-18.34,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:17+00:00,25.56,-19.42,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:18+00:00,25.53,-20.5,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:19+00:00,25.51,-20.5,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:20+00:00,25.49,-20.5,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:21+00:00,25.5,-19.42,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:22+00:00,25.51,-20.5,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:23+00:00,25.53,-20.5,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:24+00:00,25.56,-19.42,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:25+00:00,25.58,-20.5,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:26+00:00,25.6,-20.5,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:27+00:00,25.61,-19.42,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:28+00:00,25.63,-19.42,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:29+00:00,25.65,-19.42,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:30+00:00,25.64,-19.42,-0.04,0.0,1.0,60,36.98
2035-03-15 19:50:31+00:00,25.65,-20.5,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:32+00:00,25.65,-20.5,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:33+00:00,25.64,-20.5,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:34+00:00,25.63,-20.5,-0.04,0.0,1.0,59,36.98
2035-03-15 19:50:35+00:00,25.61,-20.5,-0.04,0.0,1.0,60,36.98
