date,skin_temp,heatflux,acc_x,acc_y,acc_z,pulse_rate,cbt
2035-03-12 19:50:00+00:00,21.94,12.06,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:01+00:00,21.95,12.06,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:02+00:00,21.96,12.06,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:03+00:00,21.96,12.06,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:04+00:00,21.96,12.06,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:05+00:00,21.93,12.06,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:06+00:00,21.91,12.06,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:07+00:00,21.89,13.16,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:08+00:00,21.89,13.16,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:09+00:00,21.91,13.16,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:10+00:00,21.92,13.16,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:11+00:00,21.93,12.06,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:12+00:00,21.93,12.06,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:13+00:00,21.93,13.16,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:14+00:00,21.91,14.24,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:15+00:00,21.9,14.24,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:16+00:00,21.91,14.24,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:17+00:00,21.93,14.24,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:18+00:00,21.94,10.98,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:19+00:00,21.95,9.9,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:20+00:00,21.97,9.9,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:21+00:00,21.97,10.98,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:22+00:00,21.97,10.98,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:23+00:00,21.96,10.98,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:24+00:00,21.97,10.98,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:25+00:00,21.99,10.98,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:26+00:00,22.0,10.98,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:27+00:00,22.01,10.98,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:28+00:00,22.02,5.56,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:29+00:00,22.03,5.56,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:30+00:00,22.02,5.56,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:31+00:00,21.98,7.72,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:32+00:00,21.95,17.5,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:33+00:00,21.93,17.5,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:34+00:00,21.9,7.72,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:35+00:00,21.87,7.72,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:36+00:00,21.85,7.72,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:37+00:00,21.85,7.72,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:38+00:00,21.84,12.06,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:39+00:00,21.84,10.98,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:40+00:00,21.84,10.98,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:41+00:00,21.84,10.98,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:42+00:00,21.85,13.16,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:43+00:00,21.86,6.64,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:44+00:00,21.87,6.64,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:45+00:00,21.88,13.16,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:46+00:00,21.89,13.16,0.0,-1.02,0.04,118,37.01
2035-03-12 19:50:47+00:00,21.89,13.16,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:48+00:00,21.89,12.06,0.0,-1.02,0.04,119,37.01
2035-03-12 19:50:49+00:00,21.88,12.06,0.0,-1.02,0.04,118,37.02
2035-03-12 19:50:50+00:00,21.88,6.64,0.0,-1.02,0.04,119,37.02
2035-03-12 19:50:51+00:00,21.88,6.64,0.0,-1.02,0.04,119,37.02
2035-03-12 19:50:52+00:00,21.88,6.64,0.0,-1.02,0.04,118,37.02
2035-03-12 19:50:53+00:00,21.9,7.72,0.0,-1.02,0.04,119,37.02
2035-03-12 19:50:54+00:00,21.93,7.72,0.0,-1.02,0.04,118,37.02
2035-03-12 19:50:55+00:00,21.96,7.72,0.0,-1.02,0.04,119,37.02
2035-03-12 19:50:56+00:00,21.98,7.72,0.0,-1.02,0.04,118,37.02
2035-03-12 19:50:57+00:00,22.0,7.72,0.0,-1.02,0.04,119,37.02
2035-03-12 19:50:58+00:00,22.0,7.72,0.0,-1.02,0.04,119,37.02
2035-03-12 19:50:59+00:00,21.98,5.56,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:00+00:00,21.95,7.72,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:01+00:00,21.93,5.56,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:02+00:00,21.9,13.16,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:03+00:00,21.87,13.16,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:04+00:00,21.86,12.06,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:05+00:00,21.85,12.06,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:06+00:00,21.84,12.06,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:07+00:00,21.84,12.06,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:08+00:00,21.84,12.06,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:09+00:00,21.82,12.06,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:10+00:00,21.82,5.56,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:11+00:00,21.82,5.56,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:12+00:00,21.84,7.72,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:13+00:00,21.86,12.06,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:14+00:00,21.88,12.06,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:15+00:00,21.9,10.98,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:16+00:00,21.9,10.98,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:17+00:00,21.88,10.98,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:18+00:00,21.85,10.98,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:19+00:00,21.82,10.98,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:20+00:00,21.8,10.98,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:21+00:00,21.83,10.98,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:22+00:00,21.86,10.98,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:23+00:00,21.9,10.98,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:24+00:00,21.94,10.98,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:25+00:00,21.96,6.64,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:26+00:00,21.94,7.72,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:27+00:00,21.9,7.72,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:28+00:00,21.87,7.72,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:29+00:00,21.84,7.72,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:30+00:00,21.81,7.72,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:31+00:00,21.82,12.06,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:32+00:00,21.84,12.06,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:33+00:00,21.86,12.06,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:34+00:00,21.88,12.06,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:35+00:00,21.9,12.06,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:36+00:00,21.91,7.72,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:37+00:00,21.91,7.72,0.0,-1.02,0.04,118,37.02
2035-03-12 19:51:38+00:00,21.91,10.98,0.0,-1.02,0.04,119,37.02
2035-03-12 19:51:39+00:00,21.91,4.46,0.0,-1.02,0.04,119,37.02
