date,skin_temp,heatflux,acc_x,acc_y,acc_z,pulse_rate,cbt
2035-03-23 18:30:00+00:00,24.08,29.46,0.38,-0.46,-0.8,103,37.15
2035-03-23 18:30:01+00:00,24.08,33.8,0.24,-0.62,-0.72,102,37.15
2035-03-23 18:30:02+00:00,24.09,44.66,0.14,-0.62,-0.76,102,37.15
2035-03-23 18:30:03+00:00,24.12,54.44,0.54,-0.56,-0.62,103,37.15
2035-03-23 18:30:04+00:00,24.17,64.22,0.54,-0.56,-0.62,102,37.15
2035-03-23 18:30:05+00:00,24.23,78.36,0.76,-0.64,0.18,103,37.15
2035-03-23 18:30:06+00:00,24.29,91.4,0.64,-0.68,0.4,102,37.15
2035-03-23 18:30:07+00:00,24.37,100.08,0.64,-0.68,0.4,103,37.15
2035-03-23 18:30:08+00:00,24.45,105.52,0.72,-0.72,0.0,102,37.15
2035-03-23 18:30:09+00:00,24.53,113.12,0.78,-0.7,-0.02,102,37.15
2035-03-23 18:30:10+00:00,24.6,119.64,0.0,-0.94,-0.06,103,37.15
2035-03-23 18:30:11+00:00,24.67,125.08,-0.18,-1.0,-0.06,103,37.15
2035-03-23 18:30:12+00:00,24.74,130.52,-0.18,-1.0,-0.06,102,37.15
2035-03-23 18:30:13+00:00,24.82,131.6,0.06,-1.0,-0.06,103,37.15
2035-03-23 18:30:14+00:00,24.89,133.78,0.2,-0.94,-0.14,103,37.15
2035-03-23 18:30:15+00:00,24.94,138.12,0.2,-0.94,-0.14,102,37.15
2035-03-23 18:30:16+00:00,25.0,139.2,0.18,0.24,-0.68,102,37.15
2035-03-23 18:30:17+00:00,25.08,140.3,-0.36,0.16,-0.82,103,37.15
2035-03-23 18:30:18+00:00,25.16,141.38,-0.36,0.16,-0.82,102,37.15
2035-03-23 18:30:19+00:00,25.21,143.56,0.52,-0.56,-0.64,103,37.15
2035-03-23 18:30:20+00:00,25.27,145.72,0.24,-0.52,-0.8,102,37.15
2035-03-23 18:30:21+00:00,25.33,145.72,0.22,-0.54,-0.8,103,37.15
2035-03-23 18:30:22+00:00,25.38,146.82,0.68,-0.58,-0.22,103,37.15
2035-03-23 18:30:23+00:00,25.42,146.82,0.68,-0.58,-0.22,103,37.15
2035-03-23 18:30:24+00:00,25.47,146.82,0.42,-0.66,-0.58,103,37.15
2035-03-23 18:30:25+00:00,25.52,147.9,0.44,-0.66,-0.58,103,37.15
2035-03-23 18:30:26+00:00,25.57,150.08,0.44,-0.66,-0.58,102,37.15
2035-03-23 18:30:27+00:00,25.61,150.08,0.46,-0.72,-0.48,102,37.15
2035-03-23 18:30:28+00:00,25.66,150.08,0.64,-0.74,0.06,103,37.15
2035-03-23 18:30:29+00:00,25.7,150.08,0.64,-0.74,-0.24,102,37.15
2035-03-23 18:30:30+00:00,25.71,150.08,0.24,-0.64,-0.66,103,37.15
2035-03-23 18:30:31+00:00,25.73,150.08,0.24,-0.64,-0.66,89,37.15
2035-03-23 18:30:32+00:00,25.75,150.08,0.46,-0.7,-0.14,89,37.15
2035-03-23 18:30:33+00:00,25.77,150.08,0.18,-0.96,-0.16,88,37.15
2035-03-23 18:30:34+00:00,25.79,147.9,0.0,-0.98,-0.26,88,37.15
2035-03-23 18:30:35+00:00,25.81,147.9,-0.1,-0.98,-0.22,88,37.15
2035-03-23 18:30:36+00:00,25.84,150.08,-0.04,-0.96,-0.28,89,37.15
2035-03-23 18:30:37+00:00,25.85,150.08,-0.04,-0.96,-0.28,88,37.15
2035-03-23 18:30:38+00:00,25.86,150.08,0.0,-0.94,-0.34,88,37.15
2035-03-23 18:30:39+00:00,25.88,150.08,0.14,-0.96,-0.24,89,37.15
2035-03-23 18:30:40+00:00,25.91,150.08,0.16,-0.96,-0.26,88,37.15
2035-03-23 18:30:41+00:00,25.94,150.08,0.2,-0.94,-0.32,89,37.15
2035-03-23 18:30:42+00:00,25.99,150.08,0.32,-0.66,-0.52,89,37.15
2035-03-23 18:30:43+00:00,26.06,150.08,0.48,0.08,-0.84,89,37.14
2035-03-23 18:30:44+00:00,26.11,150.08,0.7,0.02,-0.7,88,37.14
2035-03-23 18:30:45+00:00,26.14,151.16,0.7,0.2,-0.66,89,37.14
2035-03-23 18:30:46+00:00,26.15,151.16,0.78,0.24,-0.54,88,37.14
2035-03-23 18:30:47+00:00,26.15,151.16,0.8,0.28,-0.52,89,37.14
2035-03-23 18:30:48+00:00,26.13,151.16,0.84,0.18,-0.5,89,37.14
2035-03-23 18:30:49+00:00,26.11,151.16,0.88,0.16,-0.46,88,37.14
2035-03-23 18:30:50+00:00,26.1,151.16,0.6,0.12,-0.54,89,37.14
2035-03-23 18:30:51+00:00,26.11,151.16,0.4,0.18,-0.84,88,37.14
2035-03-23 18:30:52+00:00,26.13,150.08,0.68,-0.22,-0.38,88,37.14
2035-03-23 18:30:53+00:00,26.16,146.82,0.62,0.42,-0.66,89,37.14
2035-03-23 18:30:54+00:00,26.19,146.82,0.6,0.42,-0.64,89,37.14
2035-03-23 18:30:55+00:00,26.22,146.82,0.6,0.42,-0.64,89,37.14
2035-03-23 18:30:56+00:00,26.24,146.82,0.6,0.42,-0.64,88,37.14
2035-03-23 18:30:57+00:00,26.25,146.82,0.58,0.42,-0.66,89,37.14
2035-03-23 18:30:58+00:00,26.28,147.9,0.56,0.42,-0.68,88,37.14
2035-03-23 18:30:59+00:00,26.29,147.9,0.56,0.42,-0.68,89,37.14
