date,skin_temp,heatflux,acc_x,acc_y,acc_z,pulse_rate,cbt
2035-02-27 19:45:00+00:00,34.06,85.96,0.98,-0.04,0.24,91,37.34
2035-02-27 19:45:01+00:00,34.06,84.88,0.72,0.68,-0.48,88,37.34
2035-02-27 19:45:02+00:00,34.05,84.88,0.62,0.62,-0.5,88,37.34
2035-02-27 19:45:03+00:00,34.04,84.88,0.62,0.62,-0.5,88,37.34
2035-02-27 19:45:04+00:00,34.02,87.04,0.84,0.54,0.16,89,37.34
2035-02-27 19:45:05+00:00,34.0,84.88,0.84,0.58,0.26,88,37.34
2035-02-27 19:45:06+00:00,34.0,85.96,0.84,0.58,0.26,89,37.34
2035-02-27 19:45:07+00:00,33.99,87.04,1.0,0.0,0.1,88,37.34
2035-02-27 19:45:08+00:00,33.99,87.04,1.0,0.0,0.1,89,37.34
2035-02-27 19:45:09+00:00,33.99,85.96,1.0,0.02,-0.14,89,37.34
2035-02-27 19:45:10+00:00,34.0,85.96,1.02,0.02,0.02,89,37.34
2035-02-27 19:45:11+00:00,34.02,85.96,1.02,0.02,0.02,88,37.34
2035-02-27 19:45:12+00:00,34.04,84.88,1.0,0.14,0.04,88,37.34
2035-02-27 19:45:13+00:00,34.06,84.88,1.0,0.14,0.04,88,37.34
2035-02-27 19:45:14+00:00,34.08,84.88,0.96,0.12,0.24,89,37.34
2035-02-27 19:45:15+00:00,34.09,84.88,0.92,0.02,0.44,89,37.34
2035-02-27 19:45:16+00:00,34.12,83.78,0.92,0.02,0.44,88,37.34
2035-02-27 19:45:17+00:00,34.11,83.78,1.02,0.08,-0.08,88,37.34
2035-02-27 19:45:18+00:00,34.11,83.78,0.98,0.0,0.12,89,37.34
2035-02-27 19:45:19+00:00,34.11,82.7,0.98,0.0,0.12,88,37.34
2035-02-27 19:45:20+00:00,34.09,82.7,0.62,0.58,-0.24,89,37.34
2035-02-27 19:45:21+00:00,34.09,83.78,0.62,0.58,-0.24,89,37.34
2035-02-27 19:45:22+00:00,34.09,83.78,0.86,0.28,-0.26,88,37.34
2035-02-27 19:45:23+00:00,34.09,82.7,0.9,0.24,0.28,89,37.34
2035-02-27 19:45:24+00:00,34.09,83.78,0.9,0.24,0.28,88,37.34
2035-02-27 19:45:25+00:00,34.09,84.88,0.86,0.12,-0.3,88,37.34
2035-02-27 19:45:26+00:00,34.09,83.78,0.86,0.46,0.32,89,37.34
2035-02-27 19:45:27+00:00,34.09,84.88,0.92,0.44,0.16,89,37.34
2035-02-27 19:45:28+00:00,34.09,84.88,0.98,0.22,0.08,88,37.34
2035-02-27 19:45:29+00:00,34.09,82.7,0.98,0.22,0.08,89,37.34
2035-02-27 19:45:30+00:00,34.09,81.62,0.82,0.28,-0.5,88,37.34
2035-02-27 19:45:31+00:00,34.09,82.7,0.88,0.18,-0.2,97,37.35
2035-02-27 19:45:32+00:00,34.11,82.7,0.92,0.5,-0.04,97,37.35
2035-02-27 19:45:33+00:00,34.12,82.7,0.88,0.54,0.22,96,37.35
2035-02-27 19:45:34+00:00,34.12,83.78,0.88,0.54,0.22,97,37.35
2035-02-27 19:45:35+00:00,34.12,84.88,0.84,0.42,0.48,96,37.35
2035-02-27 19:45:36+00:00,34.11,83.78,0.9,0.04,0.28,96,37.35
2035-02-27 19:45:37+00:00,34.09,83.78,0.9,0.04,0.28,96,37.35
2035-02-27 19:45:38+00:00,34.08,83.78,0.5,0.76,-0.46,97,37.35
2035-02-27 19:45:39+00:00,34.06,87.04,0.5,0.76,-0.46,96,37.35
2035-02-27 19:45:40+00:00,34.04,85.96,0.68,0.72,0.08,97,37.35
2035-02-27 19:45:41+00:00,34.03,85.96,0.7,0.74,-0.08,97,37.35
2035-02-27 19:45:42+00:00,34.03,85.96,0.7,0.74,-0.08,96,37.35
2035-02-27 19:45:43+00:00,34.03,85.96,0.38,0.98,-0.14,97,37.35
2035-02-27 19:45:44+00:00,34.04,85.96,0.36,1.06,0.0,97,37.35
2035-02-27 19:45:45+00:00,34.06,85.96,0.46,0.94,-0.14,96,37.35
2035-02-27 19:45:46+00:00,34.07,85.96,0.5,0.88,-0.04,97,37.35
2035-02-27 19:45:47+00:00,34.09,85.96,0.5,0.88,-0.04,96,37.35
