date,skin_temp,heatflux,acc_x,acc_y,acc_z,pulse_rate,cbt
2035-03-15 16:50:00+00:00,26.64,-23.76,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:01+00:00,26.64,-23.76,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:02+00:00,26.64,-24.86,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:03+00:00,26.62,-23.76,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:04+00:00,26.61,-23.76,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:05+00:00,26.6,-23.76,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:06+00:00,26.59,-23.76,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:07+00:00,26.58,-22.68,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:08+00:00,26.57,-23.76,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:09+00:00,26.57,-22.68,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:10+00:00,26.58,-22.68,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:11+00:00,26.59,-22.68,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:12+00:00,26.6,-22.68,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:13+00:00,26.61,-22.68,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:14+00:00,26.62,-22.68,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:15+00:00,26.62,-22.68,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:16+00:00,26.63,-22.68,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:17+00:00,26.62,-21.6,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:18+00:00,26.61,-21.6,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:19+00:00,26.6,-21.6,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:20+00:00,26.58,-21.6,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:21+00:00,26.56,-21.6,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:22+00:00,26.52,-21.6,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:23+00:00,26.53,-21.6,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:24+00:00,26.51,-21.6,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:25+00:00,26.52,-21.6,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:26+00:00,26.54,-22.68,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:27+00:00,26.57,-23.76,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:28+00:00,26.6,-23.76,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:29+00:00,26.61,-23.76,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:30+00:00,26.64,-23.76,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:31+00:00,26.64,-23.76,-0.12,-0.02,1.0,60,37.55
2035-03-15 16:50:32+00:00,26.64,-23.76,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:33+00:00,26.63,-23.76,-0.12,-0.02,1.0,59,37.55
2035-03-15 16:50:34+00:00,26.61,-23.76,-0.12,-0.02,1.0,60,37.52
2035-03-15 16:50:35+00:00,26.59,-24.86,-0.12,-0.02,1.0,59,37.52
2035-03-15 16:50:36+00:00,26.58,-23.76,-0.12,-0.02,1.0,60,37.52
2035-03-15 16:50:37+00:00,26.57,-22.68,-0.12,-0.02,1.0,59,37.52
2035-03-15 16:50:38+00:00,26.56,-22.68,-0.12,-0.02,1.0,59,37.52
2035-03-15 16:50:39+00:00,26.56,-22.68,-0.12,-0.02,1.0,60,37.52
2035-03-15 16:50:40+00:00,26.57,-22.68,-0.12,-0.02,1.0,60,37.52
2035-03-15 16:50:41+00:00,26.57,-22.68,-0.12,-0.02,1.0,59,37.52
2035-03-15 16:50:42+00:00,26.57,-22.68,-0.12,-0.02,1.0,60,37.52
2035-03-15 16:50:43+00:00,26.56,-22.68,-0.12,-0.02,1.0,59,37.52
2035-03-15 16:50:44+00:00,26.55,-22.68,-0.12,-0.02,1.0,59,37.52
2035-03-15 16:50:45+00:00,26.54,-22.68,-0.12,-0.02,1.0,60,37.52
2035-03-15 16:50:46+00:00,26.53,-23.76,-0.12,-0.02,1.0,60,37.52
2035-03-15 16:50:47+00:00,26.52,-22.68,-0.12,-0.02,1.0,59,37.52
2035-03-15 16:50:48+00:00,26.52,-22.68,-0.12,-0.02,1.0,60,37.52
2035-03-15 16:50:49+00:00,26.52,-23.76,-0.12,-0.02,1.0,59,37.52
2035-03-15 16:50:50+00:00,26.52,-23.76,-0.12,-0.02,1.0,60,37.52
2035-03-15 16:50:51+00:00,26.52,-22.68,-0.12,-0.02,1.0,60,37.52
