date,bpm,bpm_q,last_steps,activity_type,speed,skin_proximity,energy_exp,respiration_rate,pha,pha_q,resp_q,wearing,move_alert,cw,cwt,battery,step_calories,rest_calories,distance,step_duration,spo2,spo2_q,hta,hta_q,gait_asymmetry,gait_speed,gait_var,cardiac_arrest,nibp_systolic,nibp_diastolic,nibp_systolic_long_term,nibp_diastolic_long_term,nibp_systolic_combine,nibp_diastolic_combine
2035-03-13 14:50:00+00:00,85,4,0,7,0,0,653,14.0,0,4,1,4,,,,67,,,,,96,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 14:50:30+00:00,85,3,0,7,8,0,653,0.0,0,4,0,4,,,,67,,,,,96,2,,,0,1.0,35,1,0,0,0,0,0,0
2035-03-13 14:51:00+00:00,92,2,53,2,13,0,2857,0.0,0,4,0,4,,,,67,,,,,98,1,,,26,0.69999998807907,32,1,0,0,0,0,0,0
2035-03-13 14:51:31+00:00,99,3,19,1,14,0,674,0.0,0,4,0,4,,,,67,,,,,98,1,,,21,1.5,55,1,0,0,0,0,0,0
2035-03-13 14:52:01+00:00,99,2,5,1,10,0,3376,0.0,0,4,0,4,,,,67,,,,,98,1,,,2,1.3999999761581,50,1,0,0,0,0,0,0
2035-03-13 14:52:30+00:00,83,3,0,7,0,0,631,19.5,0,4,2,4,,,,67,,,,,98,1,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 14:53:01+00:00,77,4,0,7,9,0,674,12.0,0,4,1,4,,,,67,,,,,98,1,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 14:53:30+00:00,80,3,0,1,0,0,631,0.0,0,4,0,4,,,,67,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 14:54:01+00:00,93,1,7,1,11,0,2481,0.0,0,4,0,4,,,,67,,,,,0,0,,,6,1.3999999761581,102,1,0,0,0,0,0,0
2035-03-13 14:54:30+00:00,91,1,12,1,12,0,631,0.0,0,4,0,4,,,,67,,,,,0,0,,,8,1.7999999523163,128,1,0,0,0,0,0,0
2035-03-13 14:55:00+00:00,92,1,45,2,14,0,3399,0.0,0,4,0,4,,,,67,,,,,99,1,,,30,2.0,32,1,0,0,0,0,0,0
2035-03-13 14:55:30+00:00,98,2,37,1,13,0,653,0.0,0,4,0,4,,,,67,,,,,99,1,,,22,1.8999999761581,55,1,0,0,0,0,0,0
2035-03-13 14:56:00+00:00,106,2,0,7,8,0,3502,0.0,0,4,0,4,,,,67,,,,,99,1,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 14:56:31+00:00,118,2,0,7,0,0,674,12.0,0,4,4,4,,,,67,,,,,99,1,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 14:57:00+00:00,109,2,0,7,0,0,1395,23.25,0,4,4,4,,,,67,,,,,99,1,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 14:57:30+00:00,97,2,0,7,0,0,653,23.25,0,4,4,4,,,,67,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 14:58:00+00:00,92,2,0,7,0,0,653,0.0,0,4,0,4,,,,67,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 14:58:30+00:00,96,2,0,7,0,0,653,23.25,0,4,4,4,,,,67,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 14:59:00+00:00,102,2,0,7,0,0,653,19.5,0,4,4,4,,,,67,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 14:59:30+00:00,104,2,0,7,0,0,653,21.5,0,4,4,4,,,,67,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 15:00:00+00:00,120,2,0,7,0,0,1238,19.5,0,4,4,4,,,,67,,,,,0,0,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 15:00:30+00:00,131,2,0,7,0,0,653,34.5,0,4,4,4,,,,67,,,,,98,1,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 15:01:00+00:00,144,1,0,7,0,0,3128,0.0,0,4,0,4,,,,66,,,,,98,1,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 15:01:30+00:00,139,2,0,7,0,0,653,25.25,10,25,4,4,,,,66,,,,,98,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 15:02:00+00:00,141,2,0,7,0,0,2922,38.25,2,0,4,4,,,,66,,,,,98,1,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 15:02:30+00:00,150,2,0,7,0,0,653,42.0,2,0,4,4,,,,66,,,,,98,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 15:03:00+00:00,151,2,0,7,0,0,3573,38.25,2,0,4,4,,,,66,,,,,98,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 15:03:30+00:00,147,2,0,7,0,0,653,30.75,2,0,4,4,,,,66,,,,,98,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 15:04:00+00:00,146,1,0,7,0,0,3398,34.5,2,0,2,4,,,,65,,,,,98,2,,,0,0.0,0,1,0,0,0,0,0,0
2035-03-13 15:04:30+00:00,143,1,0,1,9,0,653,0.0,2,0,0,4,,,,65,,,,,98,2,,,0,1.2000000476837,86,1,0,0,0,0,0,0
2035-03-13 15:05:00+00:00,142,1,0,7,0,0,5354,0.0,2,0,0,4,,,,65,,,,,98,2,,,0,0.0,0,1,0,0,0,0,0,0
