date,skin_temp,heatflux,acc_x,acc_y,acc_z,pulse_rate,cbt
2035-03-13 14:50:00+00:00,33.47,83.78,0.92,0.0,-0.4,84,37.33
2035-03-13 14:50:01+00:00,33.49,83.78,0.7,-0.04,-0.68,84,37.33
2035-03-13 14:50:02+00:00,33.5,84.88,0.42,-0.08,-0.9,84,37.33
2035-03-13 14:50:03+00:00,33.54,83.78,0.44,-0.08,-0.88,83,37.33
2035-03-13 14:50:04+00:00,33.55,83.78,0.44,-0.08,-0.88,84,37.33
2035-03-13 14:50:05+00:00,33.56,83.78,0.44,-0.06,-0.88,83,37.33
2035-03-13 14:50:06+00:00,33.57,83.78,0.48,-0.06,-0.86,83,37.33
2035-03-13 14:50:07+00:00,33.58,82.7,0.5,-0.06,-0.86,83,37.33
2035-03-13 14:50:08+00:00,33.58,82.7,0.44,-0.06,-0.88,83,37.33
2035-03-13 14:50:09+00:00,33.58,82.7,0.48,-0.06,-0.86,84,37.33
2035-03-13 14:50:10+00:00,33.57,83.78,0.44,-0.06,-0.88,84,37.33
2035-03-13 14:50:11+00:00,33.54,83.78,0.36,-0.06,-0.92,83,37.33
2035-03-13 14:50:12+00:00,33.53,83.78,0.4,-0.06,-0.9,83,37.33
2035-03-13 14:50:13+00:00,33.52,82.7,0.4,-0.06,-0.9,83,37.33
2035-03-13 14:50:14+00:00,33.5,82.7,0.4,-0.06,-0.9,83,37.33
2035-03-13 14:50:15+00:00,33.49,81.62,0.46,-0.04,-0.88,84,37.33
2035-03-13 14:50:16+00:00,33.49,81.62,0.36,-0.3,-0.78,83,37.33
2035-03-13 14:50:17+00:00,33.5,82.7,0.06,-0.9,-0.4,83,37.33
2035-03-13 14:50:18+00:00,33.52,82.7,0.04,-0.92,-0.36,83,37.33
2035-03-13 14:50:19+00:00,33.53,82.7,0.12,-0.94,-0.2,83,37.33
2035-03-13 14:50:20+00:00,33.55,82.7,0.48,-0.76,-0.3,84,37.33
2035-03-13 14:50:21+00:00,33.59,82.7,0.46,-0.16,-0.9,84,37.33
2035-03-13 14:50:22+00:00,33.61,81.62,0.54,0.04,-0.84,83,37.33
2035-03-13 14:50:23+00:00,33.62,81.62,0.6,0.94,-0.2,84,37.33
2035-03-13 14:50:24+00:00,33.63,81.62,0.78,0.62,-0.1,83,37.33
2035-03-13 14:50:25+00:00,33.63,83.78,0.76,0.58,-0.08,84,37.33
2035-03-13 14:50:26+00:00,33.62,84.88,0.64,0.62,-0.42,83,37.33
2035-03-13 14:50:27+00:00,33.61,84.88,0.64,0.62,-0.22,83,37.33
2035-03-13 14:50:28+00:00,33.59,84.88,0.92,0.36,-0.18,84,37.33
2035-03-13 14:50:29+00:00,33.59,84.88,0.4,0.98,0.14,83,37.33
2035-03-13 14:50:30+00:00,33.59,84.88,0.4,0.8,-0.26,87,37.33
2035-03-13 14:50:31+00:00,33.59,82.7,0.5,0.94,-0.26,88,37.33
2035-03-13 14:50:32+00:00,33.61,82.7,0.64,0.78,-0.04,87,37.33
2035-03-13 14:50:33+00:00,33.62,82.7,0.42,0.88,-0.18,88,37.33
2035-03-13 14:50:34+00:00,33.63,82.7,0.38,0.94,-0.26,87,37.33
2035-03-13 14:50:35+00:00,33.62,82.7,0.36,1.0,-0.26,87,37.33
2035-03-13 14:50:36+00:00,33.59,82.7,0.36,1.0,-0.26,87,37.33
2035-03-13 14:50:37+00:00,33.59,83.78,0.36,0.96,-0.22,88,37.33
2035-03-13 14:50:38+00:00,33.59,83.78,0.34,0.96,-0.22,87,37.33
2035-03-13 14:50:39+00:00,33.59,84.88,0.34,0.94,-0.24,87,37.33
2035-03-13 14:50:40+00:00,33.59,84.88,0.34,1.0,-0.26,87,37.33
2035-03-13 14:50:41+00:00,33.61,84.88,0.36,1.0,-0.24,88,37.33
2035-03-13 14:50:42+00:00,33.63,84.88,0.42,0.94,-0.16,87,37.33
2035-03-13 14:50:43+00:00,33.64,84.88,0.8,0.22,0.44,87,37.33
2035-03-13 14:50:44+00:00,33.64,83.78,0.84,0.26,0.54,88,37.33
2035-03-13 14:50:45+00:00,33.63,83.78,1.04,0.26,0.26,87,37.33
2035-03-13 14:50:46+00:00,33.59,83.78,0.76,0.24,-0.3,88,37.33
2035-03-13 14:50:47+00:00,33.57,83.78,0.44,0.46,-0.82,88,37.33
2035-03-13 14:50:48+00:00,33.55,83.78,0.82,0.02,-0.7,88,37.33
2035-03-13 14:50:49+00:00,33.54,83.78,0.58,1.0,-0.24,88,37.33
2035-03-13 14:50:50+00:00,33.53,85.96,0.42,1.08,-0.18,87,37.33
