date,skin_temp,heatflux,acc_x,acc_y,acc_z,pulse_rate,cbt
2035-03-14 20:50:00+00:00,32.16,103.34,1.02,0.0,-0.02,71,37.31
2035-03-14 20:50:01+00:00,32.18,103.34,1.02,0.0,-0.04,72,37.31
2035-03-14 20:50:02+00:00,32.21,104.44,1.02,0.0,-0.04,71,37.31
2035-03-14 20:50:03+00:00,32.23,103.34,1.02,0.0,0.0,71,37.31
2035-03-14 20:50:04+00:00,32.25,103.34,0.98,0.0,0.26,72,37.31
2035-03-14 20:50:05+00:00,32.28,103.34,1.0,0.0,0.2,72,37.31
2035-03-14 20:50:06+00:00,32.28,103.34,1.0,0.0,0.16,71,37.31
2035-03-14 20:50:07+00:00,32.29,102.26,1.0,0.0,0.16,72,37.31
2035-03-14 20:50:08+00:00,32.3,102.26,1.0,0.0,0.16,72,37.31
2035-03-14 20:50:09+00:00,32.3,102.26,1.0,0.0,0.18,72,37.31
2035-03-14 20:50:10+00:00,32.3,102.26,1.0,-0.04,0.12,71,37.31
2035-03-14 20:50:11+00:00,32.3,102.26,0.82,0.0,-0.54,71,37.31
2035-03-14 20:50:12+00:00,32.3,101.18,0.66,-0.02,-0.72,72,37.31
2035-03-14 20:50:13+00:00,32.3,101.18,0.32,-0.88,-0.3,71,37.31
2035-03-14 20:50:14+00:00,32.3,101.18,0.38,-0.9,-0.18,71,37.31
2035-03-14 20:50:15+00:00,32.31,101.18,0.36,-0.9,-0.16,72,37.31
2035-03-14 20:50:16+00:00,32.32,102.26,0.46,-0.84,-0.32,72,37.31
2035-03-14 20:50:17+00:00,32.32,103.34,0.38,-0.84,-0.38,72,37.31
2035-03-14 20:50:18+00:00,32.31,102.26,0.2,-0.86,-0.44,71,37.31
2035-03-14 20:50:19+00:00,32.31,102.26,0.18,-0.86,-0.46,71,37.31
2035-03-14 20:50:20+00:00,32.31,102.26,0.18,-0.84,-0.44,71,37.31
2035-03-14 20:50:21+00:00,32.3,102.26,0.58,-0.24,-0.78,72,37.31
2035-03-14 20:50:22+00:00,32.28,102.26,0.9,-0.24,0.14,71,37.31
2035-03-14 20:50:23+00:00,32.28,102.26,1.0,-0.22,0.0,71,37.31
2035-03-14 20:50:24+00:00,32.27,104.44,0.98,-0.22,0.08,72,37.31
2035-03-14 20:50:25+00:00,32.25,104.44,0.96,-0.24,0.24,72,37.31
2035-03-14 20:50:26+00:00,32.25,102.26,0.98,-0.26,0.06,71,37.31
2035-03-14 20:50:27+00:00,32.25,104.44,0.98,-0.26,0.02,71,37.31
2035-03-14 20:50:28+00:00,32.27,103.34,0.98,-0.26,0.04,71,37.31
2035-03-14 20:50:29+00:00,32.27,102.26,0.92,-0.18,-0.18,72,37.31
2035-03-14 20:50:30+00:00,32.29,103.34,0.54,0.02,-0.82,69,37.31
2035-03-14 20:50:31+00:00,32.31,104.44,0.68,0.04,-0.8,69,37.31
2035-03-14 20:50:32+00:00,32.33,103.34,0.16,-0.76,-0.44,70,37.31
2035-03-14 20:50:33+00:00,32.34,104.44,0.42,-0.86,-0.28,69,37.31
