date,skin_temp,heatflux,acc_x,acc_y,acc_z,pulse_rate,cbt
2035-02-28 19:50:00+00:00,27.77,-5.3,0.02,-1.0,0.0,97,36.91
2035-02-28 19:50:01+00:00,27.78,-5.3,0.02,-1.0,0.0,107,36.91
2035-02-28 19:50:02+00:00,27.78,-5.3,0.02,-1.0,0.0,107,36.91
2035-02-28 19:50:03+00:00,27.78,-6.38,0.02,-1.0,0.0,107,36.91
2035-02-28 19:50:04+00:00,27.77,-6.38,0.02,-1.0,0.0,106,36.91
2035-02-28 19:50:05+00:00,27.75,-7.46,0.02,-1.0,0.0,107,36.91
2035-02-28 19:50:06+00:00,27.74,-6.38,0.02,-1.0,0.0,106,36.91
2035-02-28 19:50:07+00:00,27.73,-6.38,0.02,-1.0,0.0,107,36.92
2035-02-28 19:50:08+00:00,27.73,-7.46,0.02,-1.0,0.0,106,36.92
2035-02-28 19:50:09+00:00,27.73,-6.38,0.02,-1.0,0.0,107,36.92
2035-02-28 19:50:10+00:00,27.73,-6.38,0.0,-1.0,0.0,106,36.92
2035-02-28 19:50:11+00:00,27.71,-7.46,0.02,-1.0,0.0,107,36.92
2035-02-28 19:50:12+00:00,27.68,-7.46,0.0,-1.0,0.0,106,36.92
2035-02-28 19:50:13+00:00,27.65,-6.38,0.02,-1.0,0.0,107,36.92
2035-02-28 19:50:14+00:00,27.61,-6.38,0.02,-1.0,0.0,107,36.92
2035-02-28 19:50:15+00:00,27.58,-6.38,0.0,-1.0,0.0,106,36.92
2035-02-28 19:50:16+00:00,27.56,-5.3,0.02,-1.0,0.0,107,36.92
2035-02-28 19:50:17+00:00,27.55,-5.3,0.0,-1.0,0.0,106,36.92
2035-02-28 19:50:18+00:00,27.54,-5.3,0.02,-1.0,0.0,106,36.92
2035-02-28 19:50:19+00:00,27.53,-5.3,0.0,-1.0,0.0,106,36.92
2035-02-28 19:50:20+00:00,27.55,-5.3,0.02,-1.0,0.0,107,36.92
2035-02-28 19:50:21+00:00,27.56,-5.3,0.02,-1.0,0.0,106,36.92
2035-02-28 19:50:22+00:00,27.57,-4.2,0.0,-1.0,0.0,107,36.92
2035-02-28 19:50:23+00:00,27.59,-4.2,0.0,-1.0,0.0,107,36.92
2035-02-28 19:50:24+00:00,27.61,-4.2,0.0,-1.0,0.0,106,36.92
2035-02-28 19:50:25+00:00,27.62,-4.2,0.02,-1.0,0.0,106,36.92
2035-02-28 19:50:26+00:00,27.6,-4.2,0.0,-1.0,0.0,107,36.92
2035-02-28 19:50:27+00:00,27.58,-5.3,0.0,-1.0,0.0,107,36.92
2035-02-28 19:50:28+00:00,27.55,-4.2,0.0,-1.0,0.0,106,36.92
